IAU_Name,RA_deg,Dec_deg,Cross_ID,Spectral_Type,Crowding_Category,d_arcsec,Delta_m12_F275W,F_WR_F275W,F_WR_F475W,F_WR_F814W,mag_F275W,mag_F336W,mag_F475W,mag_F814W,mag_F110W,mag_F160W,Coord_Source
M33 J013232.04+303522.3,23.1335,30.5895,---,WN2,---,,,,,,,,,,,,Massey et al.
M33 J013232.10+303514.2,23.1337,30.5873,---,WN3+neb,---,,,,,,,,,,,,Massey et al.
M33 J013233.21+302652.2,23.1384,30.4478,---,WN2+abs,---,,,,,,,,,,,,Massey et al.
M33 J013237.59+304004.2,23.1566,30.6678,MCA 1,WC,---,,,,,,,,,,,,Massey et al.
M33 J013237.69+304005.6,23.1570,30.6682,UIT 003,Ofpe/WN9,---,,,,,,,,,,,,Massey et al.
M33 J013240.79+302454.2,23.1699,30.4151,MC 1,WNE,---,,,,,,,,,,,,Massey et al.
M33 J013241.36+303416.1,23.1723,30.5711,---,WN3h,---,,,,,,,,,,,,Massey et al.
M33 J013241.92+304024.5,23.1747,30.6735,MC 2,WCE,---,,,,,,,,,,,,Massey et al.
M33 J013245.38+303858.2,23.1891,30.6495,UIT 008,Ofpe/WN9,---,,,,,,,,,,,,Massey et al.
M33 J013245.71+303854.3,23.1904,30.6484,MC 3,WN2+O7,---,,,,,,,,,,,,Massey et al.
M33 J013245.81+302019.4,23.1909,30.3387,---,WC4+neb,---,,,,,,,,,,,,Massey et al.
M33 J013255.88+303155.8,23.2328,30.5322,MC 4,WC4,---,,,,,,,,,,,,Massey et al.
M33 J013256.32+303535.3,23.2347,30.5931,OB 21-65,WN6+abs,---,,,,,,,,,,,,Massey et al.
M33 J013256.81+302724.8,23.2367,30.4569,MC 5,WN,---,,,,,,,,,,,,Massey et al.
M33 J013257.29+304418.0,23.2387,30.7383,---,WN3+neb,---,,,,,,,,,,,,Massey et al.
M33 J013257.85+303549.7,23.2410,30.5971,MC 6,WC4,---,,,,,,,,,,,,Massey et al.
M33 J013300.17+303015.2,23.2507,30.5042,MJ E1,WN8,---,,,,,,,,,,,,Massey et al.
M33 J013302.25+301119.0,23.2594,30.1886,K10-01,WN3+neb,---,,,,,,,,,,,,Massey et al.
M33 J013302.64+303120.0,23.2610,30.5222,MC 7,WN3,---,,,,,,,,,,,,Massey et al.
M33 J013302.91+301122.7,23.2621,30.1896,MC8,WNE,---,,,,,,,,,,,,Massey et al.
M33 J013303.16+301124.1,23.2632,30.1900,MC9,WNE,---,,,,,,,,,,,,Massey et al.
M33 J013303.18+303408.5,23.2632,30.5690,MC 10,WN6,---,,,,,,,,,,,,Massey et al.
M33 J013303.68+302326.2,23.2653,30.3906,MC 11,WC,---,,,,,,,,,,,,Massey et al.
M33 J013304.95+303159.7,23.2706,30.5332,MC 12,WNE,---,,,,,,,,,,,,Massey et al.
M33 J013305.64+302857.5,23.2735,30.4826,MC 13,WNE,---,,,,,,,,,,,,Massey et al.
M33 J013307.47+304258.4,23.2811,30.7162,UIT 041,WN2,---,,,,,,,,,,,,Massey et al.
M33 J013307.65+303315.3,23.2819,30.5542,MC 14,WN4,---,,,,,,,,,,,,Massey et al.
M33 J013307.77+302951.0,23.2824,30.4975,MC 15,WNE,---,,,,,,,,,,,,Massey et al.
M33 J013308.53+302805.5,23.2855,30.4682,MC 16,WNE,---,,,,,,,,,,,,Massey et al.
M33 J013309.11+304954.4,23.2879,30.8318,UIT 045,Ofpe/WN9,---,,,,,,,,,,,,Massey et al.
M33 J013310.71+303900.1,23.2946,30.6500,MCA 2,WN,---,,,,,,,,,,,,Massey et al.
M33 J013310.74+302734.1,23.2947,30.4595,MJ-E16,WN4,---,,,,,,,,,,,,Massey et al.
M33 J013311.10+303916.7,23.2962,30.6546,---,WN3+abs,---,,,,,,,,,,,,Massey et al.
M33 J013311.26+303146.8,23.2969,30.5297,MJ-E34,WN4+B2I,---,,,,,,,,,,,,Massey et al.
M33 J013311.41+304856.8,23.2975,30.8158,UIT 052,WNE+B3 I,---,,,,,,,,,,,,Massey et al.
M33 J013311.82+303852.6,23.2992,30.6479,MC 17,WNL,---,,,,,,,,,,,,Massey et al.
M33 J013312.18+302740.4,23.3007,30.4612,MJ E5,WN,---,,,,,,,,,,,,Massey et al.
M33 J013312.41+303847.9,23.3017,30.6466,N592-WR2,WN3+neb,---,,,,,,,,,,,,Massey et al.
M33 J013312.51+303900.2,23.3021,30.6501,---,WN/C+abs,---,,,,,,,,,,,,Massey et al.
M33 J013312.58+304530.9,23.3024,30.7586,---,WN4,---,,,,,,,,,,,,Massey et al.
M33 J013312.92+304459.3,23.3038,30.7498,MC 18,WN,---,,,,,,,,,,,,Massey et al.
M33 J013314.31+302955.2,23.3096,30.4987,MJ E6,WN,---,,,,,,,,,,,,Massey et al.
